id,name,score
1,1,54
2,2,100
3,3,80
4,4,80
5,5,80
6,6,80
7,7,80
8,8,80
9,9,80
10,10,80
11,11,80
12,12,80
13,13,80
14,14,80
15,15,80
16,16,80
17,17,80
18,18,80
19,19,80
20,20,80
21,21,80
22,22,80
23,23,80
24,24,80
25,25,80
26,26,80
27,27,80
28,28,80
29,29,80
30,30,80
31,31,80
32,32,80
33,33,80
34,34,80
35,35,80
36,36,80
37,37,80
38,38,80
39,39,80
40,40,80
41,41,80
42,42,80
43,43,80
44,44,80
45,45,80
46,46,80
47,47,80
48,48,80
49,49,80
50,50,80
51,51,80
52,52,80
53,53,80
54,54,80
55,55,80
56,56,80
57,57,80
58,58,80
59,59,80
60,60,80
61,61,80
62,62,80
63,63,80
64,64,80
65,65,80
66,66,80
67,67,80
68,68,80
69,69,80
70,70,80
71,71,80
72,72,80
73,73,80
74,74,80
75,75,80
76,76,80
77,77,80
78,78,80
79,79,80
80,80,80
81,81,80
82,82,80
83,83,80
84,84,80
85,85,80
86,86,80
87,87,80
88,88,80
89,89,80
90,90,80
91,91,80
92,92,80
93,93,80
94,94,80
95,95,80
96,96,80
97,97,80
98,98,80
99,99,80
100,100,80
